Mauna Loa Carbon Dioxide
 216
   14.88  15.62  16.33  17.59  17.93  17.71  15.92  15.15  14.02  12.83
   13.64  14.71  15.62  16.59  16.94  17.77  18.29  18.24  16.67  14.96
   14.12  13.58  15.14  15.77  16.62  17.16  17.90  19.21  20.02  19.74
   18.15  16.00  14.23  14.07  15.04  16.19  16.97  17.74  18.63  19.43
   20.47  19.71  18.78  16.84  15.16  15.56  16.14  17.13  18.06  18.59
   19.74  20.63  21.21  20.83  19.55  17.75  16.27  15.62  16.84  17.70
   18.80  19.08  20.15  21.49  22.25  21.50  19.67  17.61  16.25  16.17
   17.01  18.36  19.37  19.93  20.40  21.65  22.26  22.19  20.49  18.48
   17.13  17.02  17.84  18.78  19.55  20.65  21.15  22.31  22.35  22.19
   21.53  19.13  17.99  17.70  19.15  19.27  20.22  21.23  22.13  23.30
   23.57  23.29  22.36  19.71  17.89  17.54  19.36  20.51  21.80  22.03
   22.50  24.00  24.46  23.46  22.19  20.57  18.91  18.81  20.24  21.59
   22.15  22.73  23.50  24.52  25.11  25.06  23.62  21.55  19.89  19.80
   20.73  22.25  23.73  24.53  25.62  26.58  27.24  26.53  25.63  23.28
   22.21  21.67  22.61  24.07  24.91  25.81  26.85  28.07  27.97  27.77
   26.44  24.92  23.49  23.50  24.34  25.39  26.46  26.93  27.56  28.23
   29.51  29.04  27.87  26.00  24.06  24.20  25.48  26.62  27.30  28.20
   28.50  30.22  30.58  29.48  28.56  26.77  25.39  25.72  26.97  28.09
   29.16  30.02  30.95  31.95  32.85  32.58  31.30  29.64  28.12  27.67
   28.69  29.07  29.84  31.17  31.94  33.20  33.55  32.76  31.79  29.61
   27.88  27.85  28.79  30.13  30.64  31.21  31.88  33.13  33.76  33.74
   32.05  30.40  28.89  28.55  29.57  30.83
